show_id,type,title,director,cast,country,primary_country,date_added,added_year,added_month,release_year,rating,rating_score,duration,duration_numeric,duration_unit,listed_in,primary_genre,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown Cast,United States,United States,2021-09-25,2021,September,2020,PG-13,8.0,90 Minutes,90,Minutes,Documentaries,Documentaries,As her father nears the end of his life filmmaker Kirsten Johnson stages his death in inventive ways.
s2,TV Show,Blood & Water,Unknown Director,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba",South Africa,South Africa,2021-09-24,2021,September,2021,TV-MA,7.9,2 Seasons,2,Seasons,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows,After crossing paths at a party a Cape Town teen sets out to prove whether a swimming star is her sister.
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy",France,France,2021-09-24,2021,September,2021,TV-MA,6.9,1 Seasons,1,Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows,To protect his family from a powerful drug lord skilled thief Mehdi and his team are pulled into a turf war.
s4,TV Show,Jailbirds New Orleans,Unknown Director,Unknown Cast,United States,United States,2021-09-24,2021,September,2021,TV-MA,7.9,1 Seasons,1,Seasons,"Docuseries, Reality TV",Docuseries,Feuds flirtations and drama go down among the incarcerated women at the Orleans Justice Center.
s5,TV Show,Kota Factory,Raghav Subbu,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan",India,India,2021-09-24,2021,September,2021,TV-MA,6.6,2 Seasons,2,Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,In a city of coaching centers known to train India's finest minds an earnest student navigates campus life.
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas",United States,United States,2021-09-24,2021,September,2021,TV-MA,8.0,1 Seasons,1,Seasons,"TV Dramas, TV Horror, TV Mysteries",TV Dramas,The arrival of a charismatic young priest brings glorious miracles and renewed religious fervor to a dying town.
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jose Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden",United States,United States,2021-09-24,2021,September,2021,PG,6.5,91 Minutes,91,Minutes,"Children & Family Movies, Comedies",Children & Family Movies,Equestria is divided. But a bright-eyed hero believes Earth Ponies Pegasi and Unicorns should be pals.
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","United States, Ghana, United Kingdom",United States,2021-09-24,2021,September,1993,TV-MA,9.1,125 Minutes,125,Minutes,"Dramas, Independent Movies, International Movies",Dramas,On a photo shoot in Ghana an American model has a harrowing journey back in time.
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry",United Kingdom,United Kingdom,2021-09-24,2021,September,2021,TV-14,7.5,9 Seasons,9,Seasons,"British TV Shows, Reality TV",British TV Shows,A talented batch of amateur bakers face off in a 10-week competition whipping up their best dishes.
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline",United States,United States,2021-09-24,2021,September,2021,PG-13,8.4,103 Minutes,103,Minutes,"Comedies, Dramas",Comedies,A woman adjusting to life after a loss contends with a feisty bird that has taken over her garden.
