show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,As her father nears the end of his life filmmaker Kirsten Johnson stages his death in inventive ways.
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",After crossing paths at a party a Cape Town teen sets out to prove whether a swimming star is her sister.
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy",France,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",To protect his family from a powerful drug lord skilled thief Mehdi and his team are pulled into a turf war.
s4,TV Show,Jailbirds New Orleans,,,United States,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV",Feuds flirtations and drama go down among the incarcerated women at the Orleans Justice Center.
s5,TV Show,Kota Factory,Raghav Subbu,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",In a city of coaching centers known to train India's finest minds an earnest student navigates campus life.
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas",United States,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",The arrival of a charismatic young priest brings glorious miracles and renewed religious fervor to a dying town.
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jose Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden",United States,"September 24, 2021",2021,PG,91 min,"Children & Family Movies, Comedies",Equestria is divided. But a bright-eyed hero believes Earth Ponies Pegasi and Unicorns should be pals.
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","United States, Ghana, United Kingdom","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",On a photo shoot in Ghana an American model has a harrowing journey back in time.
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV",A talented batch of amateur bakers face off in a 10-week competition whipping up their best dishes.
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline",United States,"September 24, 2021",2021,PG-13,103 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that has taken over her garden.
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,Italy,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",This docuseries examines the true story behind two of Sicily's most prominent anti-Mafia figures.
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying",Thailand,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Newly arrived in Bangkok a wrestler teams up with a reporter to unravel a city-wide conspiracy.
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel",Germany,"September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies",After her family is murdered in a bombing a young woman is lured into joining the very group responsible.
s14,TV Show,Crime Stories: India Detectives,,,India,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras follow Bengaluru police on the job offering a rare look into four major crime investigations.
s15,TV Show,Dear White People,Justin Simien,"Logan Browning, Brandon P. Bell, DeRon Horton",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",Students of color navigate the daily slights and politics of life at an Ivy League college.
s16,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes",Brazil,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies",When clever Tetê joins a new school she will do anything to fit in with her classmates.
s17,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke",United States,"September 22, 2021",2021,TV-14,93 min,Thrillers,After a deadly home invasion at a couple's new dream home the traumatized wife searches for answers.
s18,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Francesc Garrido",Spain,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",In the 1960s a Holocaust survivor joins a group seeking justice against Nazis who fled to Spain.
s19,Movie,Europe's Most Dangerous Man,Pedro de Echave García,,Spain,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies",Declassified documents shed light on the post-WWII life of Otto Skorzeny in Spain.
s20,TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Esra Bilgiç",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",When a good deed endangers his clan a 13th-century Ottoman warrior agrees to fight the sultan's enemies.
s21,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy",United States,"September 15, 2021",2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A thief who steals corporate secrets through dream-sharing is given the task of planting an idea.
s22,Movie,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",United States,"August 1, 2021",2008,PG-13,152 min,"Action & Adventure, Dramas",When the Joker wreaks havoc on Gotham Batman must accept one of the greatest tests of his ability.
s23,TV Show,Stranger Things,The Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",United States,"May 27, 2022",2022,TV-14,4 Seasons,"Sci-Fi & Fantasy, TV Dramas, TV Horror",When a young boy vanishes a small town uncovers a mystery involving supernatural forces.
